sample_index,time_s,voltage_mV
288,0.144,2.38293
289,0.1445,2.37648
290,0.145,2.40308
291,0.1455,2.41114
292,0.146,2.41275
293,0.1465,2.43612
294,0.147,2.43934
295,0.1475,2.44095
296,0.148,2.45143
297,0.1485,2.43692
298,0.149,2.43773
299,0.1495,2.44901
300,0.15,2.44498
301,0.1505,2.43289
302,0.151,2.42484
303,0.1515,2.40872
304,0.152,2.39018
305,0.1525,2.37487
306,0.153,2.37568
307,0.1535,2.35714
308,0.154,2.35473
309,0.1545,2.34586
310,0.155,2.3507
311,0.1555,2.35473
312,0.156,2.34828
313,0.1565,2.36359
314,0.157,2.37648
315,0.1575,2.39099
316,0.158,2.39421
317,0.1585,2.39744
318,0.159,2.41436
319,0.1595,2.41033
320,0.16,2.42645
321,0.1605,2.42403
322,0.161,2.42806
323,0.1615,2.42806
324,0.162,2.43209
325,0.1625,2.43128
326,0.163,2.42322
327,0.1635,2.41114
328,0.164,2.40227
329,0.1645,2.39099
330,0.165,2.38051
331,0.1655,2.37729
332,0.166,2.3789
333,0.1665,2.36117
334,0.167,2.35714
335,0.1675,2.36359
336,0.168,2.35473
337,0.1685,2.36359
338,0.169,2.3789
339,0.1695,2.39179
340,0.17,2.39663
341,0.1705,2.40227
342,0.171,2.41516
343,0.1715,2.41839
344,0.172,2.42725
345,0.1725,2.42725
346,0.173,2.43048
347,0.1735,2.43612
348,0.174,2.43048
349,0.1745,2.43451
350,0.175,2.41919
351,0.1755,2.38938
352,0.176,2.38938
353,0.1765,2.38374
354,0.177,2.37487
355,0.1775,2.36359
356,0.178,2.3507
357,0.1785,2.3515
358,0.179,2.34022
359,0.1795,2.34505
360,0.18,2.33297
361,0.1805,2.3507
362,0.181,2.35473
363,0.1815,2.36601
364,0.182,2.3789
365,0.1825,2.38535
366,0.183,2.37568
367,0.1835,2.39985
368,0.184,2.41194
369,0.1845,2.42967
370,0.185,2.44821
371,0.1855,2.44337
372,0.186,2.43773
373,0.1865,2.4337
374,0.187,2.43048
375,0.1875,2.42564
376,0.188,2.41919
377,0.1885,2.41355
378,0.189,2.38938
379,0.1895,2.37326
380,0.19,2.34828
381,0.1905,2.3378
382,0.191,2.3378
383,0.1915,2.3378
384,0.192,2.3378
385,0.1925,2.33216
386,0.193,2.32974
387,0.1935,2.34747
388,0.194,2.3507
389,0.1945,2.35553
390,0.195,2.37326
391,0.1955,2.38051
392,0.196,2.3926
393,0.1965,2.4063
394,0.197,2.41275
395,0.1975,2.42886
396,0.198,2.43612
397,0.1985,2.44982
398,0.199,2.44095
399,0.1995,2.44176
400,0.2,2.43209
401,0.2005,2.43209
402,0.201,2.42886
403,0.2015,2.41033
404,0.202,2.40549
405,0.2025,2.38051
406,0.203,2.38696
407,0.2035,2.37326
408,0.204,2.37407
409,0.2045,2.38938
410,0.205,2.37568
411,0.2055,2.37004
412,0.206,2.38051
413,0.2065,2.38615
414,0.207,2.39985
415,0.2075,2.4063
416,0.208,2.42564
417,0.2085,2.44821
418,0.209,2.45707
419,0.2095,2.45788
420,0.21,2.4619
421,0.2105,2.45868
422,0.211,2.46352
423,0.2115,2.44982
424,0.212,2.4474
425,0.2125,2.45062
426,0.213,2.43451
427,0.2135,2.43289
428,0.214,2.42484
429,0.2145,2.39744
430,0.215,2.39179
431,0.2155,2.38857
432,0.216,2.37971
433,0.2165,2.38857
434,0.217,2.36681
435,0.2175,2.37245
436,0.218,2.37004
437,0.2185,2.38051
438,0.219,2.39502
439,0.2195,2.40227
440,0.22,2.39744
441,0.2205,2.42
442,0.221,2.43048
443,0.2215,2.4337
444,0.222,2.44498
445,0.2225,2.45062
446,0.223,2.45626
447,0.2235,2.45707
448,0.224,2.45304
449,0.2245,2.45788
450,0.225,2.45546
451,0.2255,2.45304
452,0.226,2.44901
453,0.2265,2.45143
454,0.227,2.44982
455,0.2275,2.44418
456,0.228,2.43773
457,0.2285,2.42806
458,0.229,2.42242
459,0.2295,2.43048
460,0.23,2.42564
461,0.2305,2.42806
462,0.231,2.43128
463,0.2315,2.44498
464,0.232,2.44418
465,0.2325,2.46674
466,0.233,2.47238
467,0.2335,2.48608
468,0.234,2.49172
469,0.2345,2.51026
470,0.235,2.503
471,0.2355,2.5022
472,0.236,2.50542
473,0.2365,2.49897
474,0.237,2.49253
475,0.2375,2.48769
476,0.238,2.46674
477,0.2385,2.46029
478,0.239,2.45385
479,0.2395,2.44015
480,0.24,2.42886
481,0.2405,2.43048
482,0.241,2.41355
483,0.2415,2.40308
484,0.242,2.41275
485,0.2425,2.38938
486,0.243,2.40227
487,0.2435,2.40952
488,0.244,2.42322
489,0.2445,2.43289
490,0.245,2.44095
491,0.2455,2.44095
492,0.246,2.44256
493,0.2465,2.45385
494,0.247,2.47077
495,0.2475,2.48205
496,0.248,2.4756
497,0.2485,2.47963
498,0.249,2.47722
499,0.2495,2.48205
500,0.25,2.46916
501,0.2505,2.45546
502,0.251,2.43773
503,0.2515,2.43612
504,0.252,2.41597
505,0.2525,2.38938
506,0.253,2.38051
507,0.2535,2.37165
508,0.254,2.36117
509,0.2545,2.36601
510,0.255,2.35311
511,0.2555,2.3507
512,0.256,2.35956
513,0.2565,2.36037
514,0.257,2.35956
515,0.2575,2.37084
516,0.258,2.38857
517,0.2585,2.39744
518,0.259,2.4063
519,0.2595,2.41516
520,0.26,2.41033
521,0.2605,2.42564
522,0.261,2.43531
523,0.2615,2.43692
524,0.262,2.44256
525,0.2625,2.43209
526,0.263,2.43612
527,0.2635,2.43853
528,0.264,2.42564
529,0.2645,2.40872
530,0.265,2.38615
531,0.2655,2.3789
532,0.266,2.35473
533,0.2665,2.34989
534,0.267,2.33538
535,0.2675,2.34425
536,0.268,2.34264
537,0.2685,2.36037
538,0.269,2.37245
539,0.2695,2.37004
540,0.27,2.37487
541,0.2705,2.38051
542,0.271,2.40308
543,0.2715,2.40147
544,0.272,2.40227
545,0.2725,2.40872
546,0.273,2.40227
547,0.2735,2.41758
548,0.274,2.41678
549,0.2745,2.41919
550,0.275,2.40147
551,0.2755,2.40227
552,0.276,2.39099
553,0.2765,2.38938
554,0.277,2.37407
555,0.2775,2.37971
556,0.278,2.35473
557,0.2785,2.35795
558,0.279,2.36037
559,0.2795,2.3507
560,0.28,2.34828
561,0.2805,2.35392
562,0.281,2.36037
563,0.2815,2.36601
564,0.282,2.36359
565,0.2825,2.39582
566,0.283,2.39663
567,0.2835,2.40388
568,0.284,2.42161
569,0.2845,2.42806
570,0.285,2.44418
571,0.2855,2.45143
572,0.286,2.44015
573,0.2865,2.44015
574,0.287,2.44337
575,0.2875,2.42806
576,0.288,2.43209
577,0.2885,2.41919
578,0.289,2.43128
579,0.2895,2.39985
580,0.29,2.39905
581,0.2905,2.37407
582,0.291,2.37568
583,0.2915,2.36762
584,0.292,2.37407
585,0.2925,2.3644
586,0.293,2.35392
587,0.2935,2.36198
588,0.294,2.36923
589,0.2945,2.36198
590,0.295,2.38051
591,0.2955,2.38051
592,0.296,2.39582
593,0.2965,2.4063
594,0.297,2.41275
595,0.2975,2.42806
596,0.298,2.43289
597,0.2985,2.43853
598,0.299,2.43692
599,0.2995,2.42322
600,0.3,2.41275
601,0.3005,2.41355
602,0.301,2.41114
603,0.3015,2.40711
604,0.302,2.38293
605,0.3025,2.38212
606,0.303,2.37004
607,0.3035,2.36117
608,0.304,2.36037
609,0.3045,2.35392
610,0.305,2.3507
611,0.3055,2.34989
612,0.306,2.35473
613,0.3065,2.35473
614,0.307,2.36117
615,0.3075,2.37165
616,0.308,2.38696
617,0.3085,2.37971
618,0.309,2.38938
619,0.3095,2.39985
620,0.31,2.41839
621,0.3105,2.41033
622,0.311,2.42403
623,0.3115,2.42806
624,0.312,2.42725
625,0.3125,2.42806
626,0.313,2.42564
627,0.3135,2.40549
628,0.314,2.39663
629,0.3145,2.38857
630,0.315,2.38696
631,0.3155,2.36762
632,0.316,2.35231
633,0.3165,2.34505
634,0.317,2.34022
635,0.3175,2.34183
636,0.318,2.3378
637,0.3185,2.34586
638,0.319,2.35714
639,0.3195,2.36037
640,0.32,2.37568
641,0.3205,2.38777
642,0.321,2.40227
643,0.3215,2.42322
644,0.322,2.45304
645,0.3225,2.48205
646,0.323,2.503
647,0.3235,2.53282
648,0.324,2.56022
649,0.3245,2.57392
650,0.325,2.58278
651,0.3255,2.59407
652,0.326,2.59971
653,0.3265,2.60132
654,0.327,2.60615
655,0.3275,2.61018
656,0.328,2.6263
657,0.3285,2.65128
658,0.329,2.70205
659,0.3295,2.74154
660,0.33,2.78183
661,0.3305,2.81971
662,0.331,2.86645
663,0.3315,2.90271
664,0.332,2.94864
665,0.3325,2.99458
666,0.333,3.04938
667,0.3335,3.06147
668,0.334,3.12835
669,0.3345,3.15414
670,0.335,3.15414
671,0.3355,3.163
672,0.336,3.20007
673,0.3365,3.1904
674,0.337,3.20571
675,0.3375,3.20571
676,0.338,3.18315
677,0.3385,3.17993
678,0.339,3.16864
679,0.3395,3.12835
680,0.34,3.08081
681,0.3405,3.02117
682,0.341,2.98007
683,0.3415,2.92286
684,0.342,2.86242
685,0.3425,2.79956
686,0.343,2.76571
687,0.3435,2.7633
688,0.344,2.74234
689,0.3445,2.73106
690,0.345,2.7093
691,0.3455,2.6819
692,0.346,2.66659
693,0.3465,2.64725
694,0.347,2.63919
695,0.3475,2.61824
696,0.348,2.59971
697,0.3485,2.56505
698,0.349,2.50703
699,0.3495,2.45143
700,0.35,2.41436
701,0.3505,2.3233
702,0.351,2.25722
703,0.3515,2.21531
704,0.352,2.18791
705,0.3525,2.18388
706,0.353,2.17018
707,0.3535,2.15729
708,0.354,2.15165
709,0.3545,2.17985
710,0.355,2.19516
711,0.3555,2.19355
712,0.356,2.20322
713,0.3565,2.21531
714,0.357,2.23546
715,0.3575,2.25883
716,0.358,2.28623
717,0.3585,2.30718
718,0.359,2.3378
719,0.3595,2.34183
720,0.36,2.35634
721,0.3605,2.37971
722,0.361,2.38938
723,0.3615,2.40227
724,0.362,2.41033
725,0.3625,2.40872
726,0.363,2.40711
727,0.3635,2.41919
728,0.364,2.42806
729,0.3645,2.42484
730,0.365,2.40711
731,0.3655,2.40469
732,0.366,2.41275
733,0.3665,2.38857
734,0.367,2.38535
735,0.3675,2.38777
736,0.368,2.38535
737,0.3685,2.38696
738,0.369,2.37487
739,0.3695,2.37245
740,0.37,2.37971
741,0.3705,2.38615
742,0.371,2.38938
743,0.3715,2.40469
744,0.372,2.41919
745,0.3725,2.42484
746,0.373,2.43209
747,0.3735,2.43853
748,0.374,2.43612
749,0.3745,2.44176
750,0.375,2.44337
751,0.3755,2.44659
752,0.376,2.43612
753,0.3765,2.42725
754,0.377,2.41436
755,0.3775,2.40711
756,0.378,2.39744
757,0.3785,2.39663
758,0.379,2.38293
759,0.3795,2.37165
760,0.38,2.35875
761,0.3805,2.3507
762,0.381,2.35473
763,0.3815,2.35956
764,0.382,2.36359
765,0.3825,2.37487
766,0.383,2.37165
767,0.3835,2.36681
768,0.384,2.38535
769,0.3845,2.39341
770,0.385,2.40469
771,0.3855,2.41275
772,0.386,2.42161
773,0.3865,2.42484
774,0.387,2.42967
775,0.3875,2.42967
776,0.388,2.43451
777,0.3885,2.43289
778,0.389,2.43128
779,0.3895,2.43612
780,0.39,2.43128
781,0.3905,2.40388
782,0.391,2.39341
783,0.3915,2.38938
784,0.392,2.38696
785,0.3925,2.38535
786,0.393,2.37648
787,0.3935,2.39502
788,0.394,2.38938
789,0.3945,2.40147
790,0.395,2.40227
791,0.3955,2.41516
792,0.396,2.41919
793,0.3965,2.44256
794,0.397,2.44418
795,0.3975,2.45868
796,0.398,2.46674
797,0.3985,2.4619
798,0.399,2.46674
799,0.3995,2.47238
800,0.4,2.47399
801,0.4005,2.46513
802,0.401,2.46916
803,0.4015,2.46029
804,0.402,2.46432
805,0.4025,2.43853
806,0.403,2.43289
807,0.4035,2.41919
808,0.404,2.41275
809,0.4045,2.40388
810,0.405,2.39824
811,0.4055,2.38857
812,0.406,2.39179
813,0.4065,2.39824
814,0.407,2.39582
815,0.4075,2.40066
816,0.408,2.41516
817,0.4085,2.44498
818,0.409,2.45143
819,0.4095,2.45385
820,0.41,2.4619
821,0.4105,2.47963
822,0.411,2.47883
823,0.4115,2.46916
824,0.412,2.4748
825,0.4125,2.46513
826,0.413,2.46996
827,0.4135,2.46352
828,0.414,2.43612
829,0.4145,2.44256
830,0.415,2.44256
831,0.4155,2.42886
832,0.416,2.41355
833,0.4165,2.40872
834,0.417,2.4063
835,0.4175,2.39985
836,0.418,2.39341
837,0.4185,2.39341
838,0.419,2.40227
839,0.4195,2.40388
840,0.42,2.41436
841,0.4205,2.41758
842,0.421,2.43209
843,0.4215,2.43048
844,0.422,2.45304
845,0.4225,2.45304
846,0.423,2.47238
847,0.4235,2.47722
848,0.424,2.4756
849,0.4245,2.47802
850,0.425,2.48044
851,0.4255,2.48608
852,0.426,2.47238
853,0.4265,2.46029
854,0.427,2.44982
855,0.4275,2.45143
856,0.428,2.45304
857,0.4285,2.43531
858,0.429,2.43128
859,0.4295,2.41355
860,0.43,2.42806
861,0.4305,2.42081
862,0.431,2.41436
863,0.4315,2.41839
864,0.432,2.42484
865,0.4325,2.43531
866,0.433,2.44982
867,0.4335,2.45385
868,0.434,2.46755
869,0.4345,2.46674
870,0.435,2.4893
871,0.4355,2.49011
872,0.436,2.49253
873,0.4365,2.49011
874,0.437,2.50462
875,0.4375,2.49817
876,0.438,2.50462
877,0.4385,2.49333
878,0.439,2.49011
879,0.4395,2.47641
880,0.44,2.46916
881,0.4405,2.46352
882,0.441,2.45949
883,0.4415,2.45062
884,0.442,2.44256
885,0.4425,2.45385
886,0.443,2.45143
887,0.4435,2.46513
888,0.444,2.46674
889,0.4445,2.45143
890,0.445,2.4619
891,0.4455,2.47963
892,0.446,2.50542
893,0.4465,2.50784
894,0.447,2.52154
895,0.4475,2.54571
896,0.448,2.5441
897,0.4485,2.55055
898,0.449,2.55861
899,0.4495,2.557
900,0.45,2.55377
901,0.4505,2.5441
902,0.451,2.53846
903,0.4515,2.53846
904,0.452,2.53282
905,0.4525,2.5304
906,0.453,2.52879
907,0.4535,2.50703
908,0.454,2.503
909,0.4545,2.503
910,0.455,2.503
911,0.4555,2.49253
912,0.456,2.48689
913,0.4565,2.49011
914,0.457,2.48044
915,0.4575,2.49656
916,0.458,2.49656
917,0.4585,2.5159
918,0.459,2.51832
919,0.4595,2.53766
920,0.46,2.56344
921,0.4605,2.56586
922,0.461,2.57634
923,0.4615,2.57473
924,0.462,2.58601
925,0.4625,2.58923
926,0.463,2.58681
927,0.4635,2.59326
928,0.464,2.57553
929,0.4645,2.58198
930,0.465,2.57392
931,0.4655,2.55458
932,0.466,2.56747
933,0.4665,2.55941
934,0.467,2.55055
935,0.4675,2.55377
936,0.468,2.5441
937,0.4685,2.54894
938,0.469,2.54813
939,0.4695,2.55055
940,0.47,2.56022
941,0.4705,2.56344
942,0.471,2.57795
943,0.4715,2.5715
944,0.472,2.58681
945,0.4725,2.60857
946,0.473,2.61905
947,0.4735,2.62147
948,0.474,2.64403
949,0.4745,2.63194
950,0.475,2.63516
951,0.4755,2.64081
952,0.476,2.64322
953,0.4765,2.63758
954,0.477,2.63275
955,0.4775,2.62147
956,0.478,2.61582
957,0.4785,2.61018
958,0.479,2.59568
959,0.4795,2.58681
960,0.48,2.59326
961,0.4805,2.58037
962,0.481,2.58037
963,0.4815,2.57795
964,0.482,2.58681
965,0.4825,2.5989
966,0.483,2.60374
967,0.4835,2.60777
968,0.484,2.61663
969,0.4845,2.6263
970,0.485,2.64081
971,0.4855,2.64886
972,0.486,2.66015
973,0.4865,2.65692
974,0.487,2.65451
975,0.4875,2.65128
976,0.488,2.64886
977,0.4885,2.65612
978,0.489,2.64886
979,0.4895,2.63839
980,0.49,2.63355
981,0.4905,2.62549
982,0.491,2.61341
983,0.4915,2.60857
984,0.492,2.60857
985,0.4925,2.59245
986,0.493,2.59487
987,0.4935,2.5844
988,0.494,2.60293
989,0.4945,2.5981
990,0.495,2.60454
991,0.4955,2.6126
992,0.496,2.60374
993,0.4965,2.61824
994,0.497,2.62872
995,0.4975,2.63355
996,0.498,2.6537
997,0.4985,2.66015
998,0.499,2.67707
999,0.4995,2.67788
1000,0.5,2.68835
1001,0.5005,2.6948
1002,0.501,2.6948
1003,0.5015,2.68513
1004,0.502,2.6811
1005,0.5025,2.6819
1006,0.503,2.66659
1007,0.5035,2.65612
1008,0.504,2.64081
1009,0.5045,2.63194
1010,0.505,2.62227
1011,0.5055,2.62308
1012,0.506,2.60857
1013,0.5065,2.60293
1014,0.507,2.59004
1015,0.5075,2.61824
1016,0.508,2.61099
1017,0.5085,2.6126
1018,0.509,2.62791
1019,0.5095,2.63839
1020,0.51,2.64645
1021,0.5105,2.66337
1022,0.511,2.66095
1023,0.5115,2.66579
1024,0.512,2.6674
1025,0.5125,2.66418
1026,0.513,2.65531
1027,0.5135,2.64645
1028,0.514,2.64967
1029,0.5145,2.61421
1030,0.515,2.59407
1031,0.5155,2.59487
1032,0.516,2.57392
1033,0.5165,2.56022
1034,0.517,2.5441
1035,0.5175,2.5304
1036,0.518,2.51187
1037,0.5185,2.51187
1038,0.519,2.49253
1039,0.5195,2.49011
1040,0.52,2.48608
1041,0.5205,2.48527
1042,0.521,2.49011
1043,0.5215,2.48447
1044,0.522,2.49414
1045,0.5225,2.503
1046,0.523,2.503
1047,0.5235,2.50945
1048,0.524,2.51832
1049,0.5245,2.51026
1050,0.525,2.50542
1051,0.5255,2.49011
1052,0.526,2.47963
1053,0.5265,2.47399
1054,0.527,2.45788
1055,0.5275,2.4474
1056,0.528,2.43048
1057,0.5285,2.40388
1058,0.529,2.39985
1059,0.5295,2.37648
1060,0.53,2.36359
1061,0.5305,2.35875
1062,0.531,2.34989
1063,0.5315,2.34908
1064,0.532,2.33458
1065,0.5325,2.33136
1066,0.533,2.32249
1067,0.5335,2.33538
1068,0.534,2.34667
1069,0.5345,2.35553
1070,0.535,2.35553
1071,0.5355,2.37407
1072,0.536,2.37971
1073,0.5365,2.38535
1074,0.537,2.39985
1075,0.5375,2.39341
1076,0.538,2.39582
1077,0.5385,2.39179
1078,0.539,2.38535
1079,0.5395,2.37407
1080,0.54,2.37004
1081,0.5405,2.36037
1082,0.541,2.34989
1083,0.5415,2.32491
1084,0.542,2.32491
1085,0.5425,2.31363
1086,0.543,2.30718
1087,0.5435,2.30234
1088,0.544,2.29187
1089,0.5445,2.2967
1090,0.545,2.30154
1091,0.5455,2.30718
1092,0.546,2.31443
1093,0.5465,2.31363
1094,0.547,2.31846
1095,0.5475,2.32249
1096,0.548,2.3378
1097,0.5485,2.34828
1098,0.549,2.3507
1099,0.5495,2.35473
1100,0.55,2.36037
1101,0.5505,2.35795
1102,0.551,2.35795
1103,0.5515,2.35392
1104,0.552,2.34425
1105,0.5525,2.34264
1106,0.553,2.32249
1107,0.5535,2.31121
1108,0.554,2.29187
1109,0.5545,2.27736
1110,0.555,2.26044
1111,0.5555,2.2548
1112,0.556,2.25238
1113,0.5565,2.23868
1114,0.557,2.24352
1115,0.5575,2.23223
1116,0.558,2.24674
1117,0.5585,2.2411
1118,0.559,2.25238
1119,0.5595,2.26689
1120,0.56,2.2685
1121,0.5605,2.28139
1122,0.561,2.31524
1123,0.5615,2.2967
1124,0.562,2.3104
1125,0.5625,2.31443
1126,0.563,2.32088
1127,0.5635,2.32491
1128,0.564,2.32491
1129,0.5645,2.31846
1130,0.565,2.31201
1131,0.5655,2.3096
1132,0.566,2.283
1133,0.5665,2.27333
1134,0.567,2.26769
1135,0.5675,2.26044
1136,0.568,2.2548
1137,0.5685,2.23626
1138,0.569,2.24835
1139,0.5695,2.23949
1140,0.57,2.25722
1141,0.5705,2.25158
1142,0.571,2.26527
1143,0.5715,2.27253
1144,0.572,2.28381
1145,0.5725,2.28784
1146,0.573,2.30315
1147,0.5735,2.31363
1148,0.574,2.33136
1149,0.5745,2.32974
1150,0.575,2.33941
1151,0.5755,2.33216
1152,0.576,2.33538
1153,0.5765,2.32894
1154,0.577,2.32894
1155,0.5775,2.31604
1156,0.578,2.30718
1157,0.5785,2.29993
1158,0.579,2.28623
1159,0.5795,2.27253
1160,0.58,2.26044
1161,0.5805,2.26286
1162,0.581,2.26044
1163,0.5815,2.2548
1164,0.582,2.22901
1165,0.5825,2.26527
1166,0.583,2.26769
1167,0.5835,2.27656
1168,0.584,2.29187
1169,0.5845,2.27736
1170,0.585,2.30234
1171,0.5855,2.31282
1172,0.586,2.31524
1173,0.5865,2.32249
1174,0.587,2.32249
1175,0.5875,2.32249
1176,0.588,2.3233
1177,0.5885,2.31443
1178,0.589,2.3096
1179,0.5895,2.29912
1180,0.59,2.29429
1181,0.5905,2.27656
1182,0.591,2.27011
1183,0.5915,2.26608
1184,0.592,2.25238
1185,0.5925,2.23788
1186,0.593,2.22579
1187,0.5935,2.22579
1188,0.594,2.22418
1189,0.5945,2.22901
1190,0.595,2.23143
1191,0.5955,2.22982
1192,0.596,2.22579
1193,0.5965,2.24029
1194,0.597,2.23626
1195,0.5975,2.25722
1196,0.598,2.27656
1197,0.5985,2.29267
